Item,Translation
Acacia Door,金合欢木门
Acacia Fence,金合欢木栅栏
Acacia Fence Gate,金合欢木栅栏门
Acacia Hanging Sign,悬挂式金合欢木告示牌
Acacia Leaves,金合欢树叶
Acacia Log,金合欢原木
Acacia Planks,金合欢木板
Acacia Pressure Plate,金合欢木压力板
Acacia Sapling,金合欢树苗
Acacia Sign,金合欢木告示牌
Acacia Slab,金合欢木台阶
Acacia Stairs,金合欢木楼梯
Acacia Trapdoor,金合欢木活板门
Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
Acacia Wall Sign,墙上的金合欢木告示牌
Acacia Wood,金合欢木
Activator Rail,激活铁轨
Air,空气
Allium,绒球葱
Amethyst Bud,紫晶芽
Amethyst Cluster,紫水晶簇
Ancient Debris,远古残骸
Andesite,安山岩
Andesite Slab,安山岩台阶
Andesite Stairs,安山岩楼梯
Andesite Wall,安山岩墙
Anvil,铁砧
Attached Melon Stem,结果的西瓜茎
Attached Pumpkin Stem,结果的南瓜茎
Azalea,杜鹃花丛
Azalea Leaves,杜鹃树叶
Azure Bluet,蓝花美耳草
Bamboo,竹子
Bamboo Button,竹按钮
Bamboo Door,竹门
Bamboo Fence,竹栅栏
Bamboo Fence Gate,竹栅栏门
Bamboo Hanging Sign,悬挂式竹告示牌
Bamboo Mosaic,竹马赛克
Bamboo Mosaic Slab,竹马赛克台阶
Bamboo Mosaic Stairs,竹马赛克楼梯
Bamboo Planks,竹板
Bamboo Pressure Plate,竹压力板
Bamboo Shoot,竹笋
Bamboo Sign,竹告示牌
Bamboo Slab,竹台阶
Bamboo Stairs,竹楼梯
Bamboo Trapdoor,竹活板门
Bamboo Wall Hanging Sign,墙上的悬挂式竹告示牌
Bamboo Wall Sign,墙上的竹告示牌
Banner,旗帜
Barrel,木桶
Barrier,屏障
Basalt,玄武岩
Beacon,信标
Bed,床
Bedrock,基岩
Bee Nest,蜂巢
Beehive,蜂箱
Beetroots,甜菜根
Bell,钟
Big Dripleaf,大型垂滴叶
Big Dripleaf Stem,大型垂滴叶茎
Birch Button,白桦木按钮
Birch Door,白桦木门
Birch Fence,白桦木栅栏
Birch Fence Gate,白桦木栅栏门
Birch Hanging Sign,悬挂式白桦木告示牌
Birch Leaves,白桦树叶
Birch Log,白桦原木
Birch Planks,白桦木板
Birch Pressure Plate,白桦木压力板
Birch Sapling,白桦树苗
Birch Sign,白桦木告示牌
Birch Slab,白桦木台阶
Birch Stairs,白桦木楼梯
Birch Trapdoor,白桦木活板门
Birch Wall Hanging Sign,墙上的悬挂式白桦木告示牌
Birch Wall Sign,墙上的白桦木告示牌
Birch Wood,白桦木
Black Banner,黑色旗帜
Black Bed,黑色床
Black Candle,黑色蜡烛
Black Carpet,黑色地毯
Black Concrete,黑色混凝土
Black Concrete Powder,黑色混凝土粉末
Black Glazed Terracotta,黑色带釉陶瓦
Black Shulker Box,黑色潜影盒
Black Stained Glass,黑色染色玻璃
Black Stained Glass Pane,黑色染色玻璃板
Black Terracotta,黑色陶瓦
Black Wall Banner,墙上的黑色旗帜
Black Wool,黑色羊毛
Blackstone,黑石
Blackstone Slab,黑石台阶
Blackstone Stairs,黑石楼梯
Blackstone Wall,黑石墙
Blast Furnace,高炉
Block of Amethyst,紫水晶块
Block of Bamboo,竹块
Block of Coal,煤炭块
Block of Copper,铜块
Block of Diamond,钻石块
Block of Emerald,绿宝石块
Block of Gold,金块
Block of Iron,铁块
Block of Lapis Lazuli,青金石块
Block of Netherite,下界合金块
Block of Quartz,石英块
Block of Raw Copper,粗铜块
Block of Raw Gold,粗金块
Block of Raw Iron,粗铁块
Block of Redstone,红石块
Block of Stripped Bamboo,去皮竹块
Blue Banner,蓝色旗帜
Blue Bed,蓝色床
Blue Candle,蓝色蜡烛
Blue Carpet,蓝色地毯
Blue Concrete,蓝色混凝土
Blue Concrete Powder,蓝色混凝土粉末
Blue Glazed Terracotta,蓝色带釉陶瓦
Blue Ice,蓝冰
Blue Orchid,兰花
Blue Shulker Box,蓝色潜影盒
Blue Stained Glass,蓝色染色玻璃
Blue Stained Glass Pane,蓝色染色玻璃板
Blue Terracotta,蓝色陶瓦
Blue Wall Banner,墙上的蓝色旗帜
Blue Wool,蓝色羊毛
Bone Block,骨块
Bookshelf,书架
Brain Coral,脑纹珊瑚
